i,j,P,Q,est
3,18,Z,Z,1.125
3,19,X,X,-0.063
3,19,X,Y,-0.018
3,19,X,Z,-0.189
3,19,Y,X,-0.081
3,19,Y,Y,0.036
3,19,Y,Z,0.063
3,19,Z,X,-0.009
3,19,Z,Y,0.027
3,19,Z,Z,0.882
3,20,X,X,-0.054
3,20,X,Y,0.0
3,20,X,Z,-0.09
3,20,Y,X,0.108
3,20,Y,Y,-0.036
3,20,Y,Z,0.054
3,20,Z,X,0.0
3,20,Z,Y,-0.063
3,20,Z,Z,0.891
3,21,X,X,-0.09
3,21,X,Y,-0.045
3,21,X,Z,-0.063
3,21,Y,X,0.054
3,21,Y,Y,-0.099
3,21,Y,Z,0.027
3,21,Z,X,-0.099
3,21,Z,Y,0.18
3,21,Z,Z,1.053
3,22,X,X,0.288
3,22,X,Y,0.198
3,22,X,Z,-0.054
3,22,Y,X,0.018
3,22,Y,Y,-0.045
3,22,Y,Z,0.099
3,22,Z,X,0.018
3,22,Z,Y,-0.099
3,22,Z,Z,1.071
3,23,X,X,-0.108
3,23,X,Y,-0.099
3,23,X,Z,-0.009
3,23,Y,X,-0.009
3,23,Y,Y,-0.072
3,23,Y,Z,0.081
3,23,Z,X,-0.135
3,23,Z,Y,-0.126
3,23,Z,Z,0.873
3,24,X,X,0.045
3,24,X,Y,-0.054
3,24,X,Z,-0.063
3,24,Y,X,0.135
3,24,Y,Y,0.063
3,24,Y,Z,0.054
3,24,Z,X,0.072
3,24,Z,Y,-0.027
3,24,Z,Z,1.017
3,25,X,X,0.018
3,25,X,Y,0.045
3,25,X,Z,-0.045
3,25,Y,X,0.108
3,25,Y,Y,-0.018
3,25,Y,Z,-0.072
3,25,Z,X,-0.045
3,25,Z,Y,-0.027
3,25,Z,Z,0.972
3,26,X,X,-0.108
3,26,X,Y,-0.027
3,26,X,Z,0.171
3,26,Y,X,-0.027
3,26,Y,Y,-0.243
3,26,Y,Z,0.036
3,26,Z,X,-0.09
3,26,Z,Y,-0.099
3,26,Z,Z,0.945
3,27,X,X,-0.009
3,27,X,Y,-0.063
3,27,X,Z,-0.108
3,27,Y,X,-0.09
3,27,Y,Y,-0.234
3,27,Y,Z,0.09
3,27,Z,X,0.054
3,27,Z,Y,0.072
3,27,Z,Z,1.116
3,28,X,X,0.063
3,28,X,Y,0.054
3,28,X,Z,0.009
3,28,Y,X,0.162
3,28,Y,Y,-0.243
3,28,Y,Z,-0.009
3,28,Z,X,-0.108
3,28,Z,Y,0.144
3,28,Z,Z,1.134
3,29,X,X,-0.027
3,29,X,Y,-0.036
3,29,X,Z,0.117
3,29,Y,X,0.054
3,29,Y,Y,0.0
3,29,Y,Z,-0.018
3,29,Z,X,0.099
3,29,Z,Y,0.036
3,29,Z,Z,1.071
4,5,X,X,-0.045
4,5,X,Y,-0.063
4,5,X,Z,0.063
4,5,Y,X,0.144
4,5,Y,Y,0.009
4,5,Y,Z,-0.009
4,5,Z,X,-0.234
4,5,Z,Y,0.252
4,5,Z,Z,0.963
4,6,X,X,-0.153
4,6,X,Y,0.018
4,6,X,Z,-0.054
4,6,Y,X,-0.117
4,6,Y,Y,-0.018
4,6,Y,Z,-0.099
4,6,Z,X,0.072
4,6,Z,Y,0.0
4,6,Z,Z,0.909
4,7,X,X,0.099
